"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
 Participation rate - Males 15 years and over in private households,60.8,68.7,68.8,81.1,73.0,65.2,68.4,65.8,65.4,81.5,67.4,77.3,52.9,66.1,70.0,63.8,71.5,47.9,66.3,61.0,74.1,70.6,69.2,71.6
 Employment rate - Males 15 years and over in private households,57.2,60.3,64.4,76.1,63.5,60.4,60.9,60.3,59.4,76.9,61.7,70.6,50.2,60.3,65.2,60.8,67.9,36.7,60.6,55.4,68.3,66.1,63.3,66.4
 Unemployment rate - Males 15 years and over in private households,6.1,12.2,6.4,6.3,13.0,7.4,10.9,8.4,9.2,5.6,8.5,8.6,5.1,8.8,6.9,4.6,5.0,23.4,8.7,9.2,7.8,6.3,8.6,7.2
Total - Males 15 years and over in private households with no children at home,"3,505","13,975","4,980","9,635","9,740","8,260","11,210","3,410","5,780","14,000","5,915","8,670","2,885","11,040","5,745","2,220","1,800","4,840","7,840","6,235","19,620","3,355","164,315","506,970"
  In the labour force - Males 15 years and over in private households with no children at home,"1,900","9,480","2,880","7,800","7,060","5,005","7,290","1,970","3,295","11,280","3,730","6,660","1,325","6,690","3,925","1,190","1,230","2,220","4,645","3,275","14,425","2,100","109,180","328,860"
   Employed - Males 15 years and over in private households with no children at home,"1,770","8,240","2,610","7,300","6,080","4,555","6,315","1,715","2,915","10,575","3,400","6,070","1,225","6,090","3,625","1,095","1,150","1,640","4,195","2,910","13,330","1,940","98,585","299,060"
   Unemployed - Males 15 years and over in private households with no children at home,130,"1,240",270,500,980,445,975,255,385,700,325,585,100,600,295,95,90,580,445,360,"1,100",160,"10,595","29,800"
  Not in the labour force - Males 15 years and over in private households with no children at home,"1,605","4,490","2,100","1,830","2,675","3,260","3,920","1,440","2,490","2,725","2,190","2,005","1,555","4,355","1,820","1,030",560,"2,615","3,195","2,965","5,190","1,250","55,135","178,110"
  Participation rate - Males 15 years and over in private households with no children at home,54.2,67.8,57.8,81.0,72.5,60.6,65.0,57.8,57.0,80.6,63.1,76.8,45.9,60.6,68.3,53.6,68.3,45.9,59.2,52.5,73.5,62.6,66.4,64.9
  Employment rate - Males 15 years and over in private households with no children at home,50.5,59.0,52.4,75.8,62.4,55.1,56.3,50.3,50.4,75.5,57.5,70.0,42.5,55.2,63.1,49.3,63.9,33.9,53.5,46.7,67.9,57.8,60.0,59.0
  Unemployment rate - Males 15 years and over in private households with no children at home,6.8,13.1,9.4,6.4,13.9,8.9,13.4,12.9,11.7,6.2,8.7,8.8,7.5,9.0,7.5,8.0,7.3,26.1,9.6,11.0,7.6,7.6,9.7,9.1
Total - Males 15 years and over in private households with children,"2,005","1,430","3,400","1,590","2,575","4,930","6,420","2,020","4,135","2,875","3,020","1,960","1,890","6,900","2,980","1,340",870,790,"5,110","4,315","1,390","1,695","63,450","278,145"
 In the labour force - Males 15 years and over in private households with children,"1,455","1,105","2,880","1,305","1,925","3,605","4,765","1,610","3,190","2,480","2,300","1,555","1,200","5,175","2,190","1,080",670,475,"3,940","3,165","1,135","1,470","48,515","233,240"
  Employed - Males 15 years and over in private households with children,"1,380","1,050","2,780","1,235","1,740","3,410","4,420","1,560","2,975","2,400","2,110","1,440","1,175","4,730","2,065","1,070",665,430,"3,645","2,930","1,020","1,400","45,485","222,315"
  Unemployed - Males 15 years and over in private households with children,75,55,105,65,185,195,350,45,215,70,185,115,25,440,125,10,10,50,300,230,120,65,"3,025","10,925"
 Not in the labour force - Males 15 years and over in private households with children,555,325,510,285,650,"1,325","1,655",415,940,405,725,405,695,"1,730",795,265,200,320,"1,165","1,155",250,225,"14,940","44,910"
 Participation rate - Males 15 years and over in private households with children,72.6,77.3,84.7,82.1,74.8,73.1,74.2,79.7,77.1,86.3,76.2,79.3,63.5,75.0,73.5,80.6,77.0,60.1,77.1,73.3,81.7,86.7,76.5,83.9
 Employment rate - Males 15 years and over in private households with children,68.8,73.4,81.8,77.7,67.6,69.2,68.8,77.2,71.9,83.5,69.9,73.5,62.2,68.6,69.3,79.9,76.4,54.4,71.3,67.9,73.4,82.6,71.7,79.9
 Unemployment rate - Males 15 years and over in private households with children,5.2,5.0,3.6,5.0,9.6,5.4,7.3,2.8,6.7,2.8,8.0,7.4,2.1,8.5,5.7,0.9,1.5,10.5,7.6,7.3,10.6,4.4,6.2,4.7
Total - Males 15 years and over in private households with children under 6 years only,220,500,495,640,680,830,"1,330",205,580,930,475,720,185,"1,160",640,100,175,90,"1,015",570,555,270,"12,355","51,220"
 In the labour force - Males 15 years and over in private households with children under 6 years only,210,435,480,585,550,725,"1,225",185,530,885,410,590,170,"1,050",590,95,150,85,940,490,505,235,"11,115","47,440"
  Employed - Males 15 years and over in private households with children under 6 years only,215,420,450,565,485,675,"1,170",160,510,870,355,545,165,960,555,95,140,80,875,445,450,220,"10,380","45,025"
  Unemployed - Males 15 years and over in private households with children under 6 years only,0,20,25,20,65,55,50,25,25,25,55,50,0,90,30,0,10,0,65,45,60,15,735,"2,410"
 Not in the labour force - Males 15 years and over in private households with children under 6 years only,0,65,15,55,130,105,110,20,45,45,65,130,20,105,50,10,25,10,75,80,50,35,"1,235","3,785"
 Participation rate - Males 15 years and over in private households with children under 6 years only,95.5,87.0,97.0,91.4,80.9,87.3,92.1,90.2,91.4,95.2,86.3,81.9,91.9,90.5,92.2,95.0,85.7,94.4,92.6,86.0,91.0,87.0,90.0,92.6
 Employment rate - Males 15 years and over in private households with children under 6 years only,97.7,84.0,90.9,88.3,71.3,81.3,88.0,78.0,87.9,93.5,74.7,75.7,89.2,82.8,86.7,95.0,80.0,88.9,86.2,78.1,81.1,81.5,84.0,87.9
 Unemployment rate - Males 15 years and over in private households with children under 6 years only,0.0,4.6,5.2,3.4,11.8,7.6,4.1,13.5,4.7,2.8,13.4,8.5,0.0,8.6,5.1,0.0,6.7,0.0,6.9,9.2,11.9,6.4,6.6,5.1
Total - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,160,80,350,105,440,580,715,175,425,215,260,225,125,790,265,120,105,155,700,415,95,160,"6,630","34,035"
 In the labour force - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,140,80,335,95,380,500,610,155,350,210,235,190,85,660,245,120,100,135,645,390,80,140,"5,865","31,245"
  Employed - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,130,75,320,95,370,480,565,150,325,205,205,170,85,560,240,120,100,105,600,370,80,145,"5,480","29,920"
  Unemployed - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,10,0,10,0,15,20,50,10,30,0,30,15,0,95,10,0,0,30,45,20,0,0,390,"1,325"
 Not in the labour force - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,25,0,20,10,60,80,105,25,75,0,25,35,40,130,20,0,0,15,55,30,10,20,760,"2,785"
 Participation rate - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,87.5,100.0,95.7,90.5,86.4,86.2,85.3,88.6,82.4,97.7,90.4,84.4,68.0,83.5,92.5,100.0,95.2,87.1,92.1,94.0,84.2,87.5,88.5,91.8
 Employment rate - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,81.2,93.8,91.4,90.5,84.1,82.8,79.0,85.7,76.5,95.3,78.8,75.6,68.0,70.9,90.6,100.0,95.2,67.7,85.7,89.2,84.2,90.6,82.7,87.9
 Unemployment rate - Males 15 years and over in private households with children under 6 years as well as children 6 years and over,7.1,0.0,3.0,0.0,3.9,4.0,8.2,6.5,8.6,0.0,12.8,7.9,0.0,14.4,4.1,0.0,0.0,22.2,7.0,5.1,0.0,0.0,6.6,4.2
Total - Males 15 years and over in private households with children 6 years and over only,"1,625",845,"2,550",840,"1,455","3,525","4,375","1,640","3,130","1,730","2,285","1,015","1,580","4,955","2,080","1,125",590,550,"3,395","3,330",740,"1,260","44,475","192,890"
 In the labour force - Males 15 years and over in private households with children 6 years and over only,"1,105",585,"2,075",620,995,"2,380","2,930","1,265","2,310","1,380","1,650",775,945,"3,460","1,355",865,420,255,"2,355","2,280",545,"1,085","31,530","154,555"
  Employed - Males 15 years and over in private households with children 6 years and over only,"1,040",565,"2,010",575,880,"2,255","2,680","1,250","2,150","1,330","1,550",725,920,"3,210","1,270",855,420,245,"2,165","2,115",490,"1,035","29,630","147,370"
  Unemployed - Males 15 years and over in private households with children 6 years and over only,65,25,65,40,110,120,250,15,160,50,100,55,25,255,90,10,0,20,195,160,55,50,"1,900","7,185"
 Not in the labour force - Males 15 years and over in private households with children 6 years and over only,525,260,475,220,465,"1,145","1,440",370,825,350,635,240,635,"1,490",720,255,170,290,"1,040","1,050",200,175,"12,940","38,335"
 Participation rate - Males 15 years and over in private households with children 6 years and over only,68.0,69.2,81.4,73.8,68.4,67.5,67.0,77.1,73.8,79.8,72.2,76.4,59.8,69.8,65.1,76.9,71.2,46.4,69.4,68.5,73.6,86.1,70.9,80.1
 Employment rate - Males 15 years and over in private households with children 6 years and over only,64.0,66.9,78.8,68.5,60.5,64.0,61.3,76.2,68.7,76.9,67.8,71.4,58.2,64.8,61.1,76.0,71.2,44.5,63.8,63.5,66.2,82.1,66.6,76.4
 Unemployment rate - Males 15 years and over in private households with children 6 years and over only,5.9,4.3,3.1,6.5,11.1,5.0,8.5,1.2,6.9,3.6,6.1,7.1,2.6,7.4,6.6,1.2,0.0,7.8,8.3,7.0,10.1,4.6,6.0,4.6
Total - Female 15 years and over in private households,"6,625","10,665","9,075","14,370","12,595","13,865","18,625","6,515","11,110","19,135","9,895","10,605","5,640","19,040","9,745","3,915","3,080","4,250","13,735","11,560","19,180","5,740","238,440","832,160"
 In the labour force - Female 15 years and over in private households,"3,120","6,970","5,345","10,470","8,260","8,070","10,995","3,565","6,410","14,340","5,715","7,365","2,305","10,750","6,095","2,220","1,990","1,625","7,715","6,175","12,875","3,520","145,640","508,575"
  Employed - Female 15 years and over in private households,"2,995","6,435","4,955","9,925","7,400","7,335","9,975","3,290","5,775","13,500","5,245","6,750","2,095","10,005","5,725","2,135","1,900","1,335","6,875","5,665","11,905","3,305","134,265","471,945"
  Unemployed - Female 15 years and over in private households,125,535,390,545,860,735,"1,020",280,640,835,470,615,215,745,370,90,95,285,835,510,970,215,"11,370","36,630"
 Not in the labour force - Female 15 years and over in private households,"3,505","3,700","3,730","3,895","4,335","5,795","7,625","2,955","4,705","4,800","4,180","3,240","3,340","8,300","3,645","1,690","1,095","2,630","6,020","5,385","6,305","2,215","92,805","323,580"
 Participation rate - Female 15 years and over in private households,47.1,65.4,58.9,72.9,65.6,58.2,59.0,54.7,57.7,74.9,57.8,69.4,40.9,56.5,62.5,56.7,64.6,38.2,56.2,53.4,67.1,61.3,61.1,61.1
 Employment rate - Female 15 years and over in private households,45.2,60.3,54.6,69.1,58.8,52.9,53.6,50.5,52.0,70.6,53.0,63.6,37.1,52.5,58.7,54.5,61.7,31.4,50.1,49.0,62.1,57.6,56.3,56.7
 Unemployment rate - Female 15 years and over in private households,4.0,7.7,7.3,5.2,10.4,9.1,9.3,7.9,10.0,5.8,8.2,8.4,9.3,6.9,6.1,4.1,4.8,17.5,10.8,8.3,7.5,6.1,7.8,7.2
Total - Females 15 years and over in private households with no children at home,"4,290","8,780","5,160","12,035","8,730","7,950","10,640","4,195","6,110","15,345","6,220","7,700","3,515","10,590","5,950","2,475","2,085","3,165","7,540","6,360","17,085","3,795","159,420","501,485"
  In the labour force - Females 15 years and over in private households with no children at home,"1,860","5,830","2,785","8,955","5,980","4,345","5,980","2,200","3,135","11,655","3,535","5,560","1,290","5,545","3,780","1,310","1,365","1,065","3,990","3,095","11,630","2,125","96,845","284,970"
   Employed - Females 15 years and over in private households with no children at home,"1,770","5,390","2,485","8,535","5,420","3,900","5,435","2,000","2,820","10,995","3,270","5,130","1,165","5,190","3,505","1,240","1,290",860,"3,520","2,835","10,790","1,960","89,360","263,565"
   Unemployed - Females 15 years and over in private households with no children at home,90,440,300,420,565,440,550,200,320,660,270,425,135,355,275,70,75,200,470,255,840,165,"7,485","21,405"
  Not in the labour force - Females 15 years and over in private households with no children at home,"2,435","2,950","2,375","3,080","2,745","3,610","4,660","1,995","2,975","3,695","2,685","2,140","2,220","5,045","2,170","1,170",725,"2,100","3,550","3,265","5,455","1,665","62,575","216,515"
  Participation rate - Females 15 years and over in private households with no children at home,43.4,66.4,54.0,74.4,68.5,54.7,56.2,52.4,51.3,76.0,56.8,72.2,36.7,52.4,63.5,52.9,65.5,33.6,52.9,48.7,68.1,56.0,60.7,56.8
  Employment rate - Females 15 years and over in private households with no children at home,41.3,61.4,48.2,70.9,62.1,49.1,51.1,47.7,46.2,71.7,52.6,66.6,33.1,49.0,58.9,50.1,61.9,27.2,46.7,44.6,63.2,51.6,56.1,52.6
  Unemployment rate - Females 15 years and over in private households with no children at home,4.8,7.5,10.8,4.7,9.4,10.1,9.2,9.1,10.2,5.7,7.6,7.6,10.5,6.4,7.3,5.3,5.5,18.8,11.8,8.2,7.2,7.8,7.7,7.5
Total - Females 15 years and over in private households with children,"2,330","1,890","3,915","2,330","3,865","5,920","7,985","2,325","5,005","3,790","3,670","2,910","2,130","8,460","3,795","1,440","1,000","1,085","6,195","5,200","2,095","1,945","79,015","330,675"
 In the labour force - Females 15 years and over in private households with children,"1,260","1,140","2,560","1,515","2,280","3,725","5,015","1,370","3,275","2,685","2,180","1,810","1,010","5,210","2,315",910,625,560,"3,725","3,080","1,250","1,395","48,790","223,605"
  Employed - Females 15 years and over in private households with children,"1,220","1,040","2,470","1,385","1,980","3,430","4,540","1,285","2,955","2,510","1,975","1,615",930,"4,815","2,220",895,610,475,"3,355","2,830","1,115","1,340","44,900","208,380"
  Unemployed - Females 15 years and over in private households with children,40,100,90,130,295,295,475,80,320,175,205,195,80,395,95,20,20,85,370,255,135,50,"3,885","15,230"
 Not in the labour force - Females 15 years and over in private households with children,"1,070",750,"1,355",810,"1,585","2,190","2,970",955,"1,725","1,110","1,495","1,100","1,115","3,255","1,480",525,370,530,"2,470","2,120",845,550,"30,225","107,070"
 Participation rate - Females 15 years and over in private households with children,54.1,60.3,65.4,65.0,59.0,62.9,62.8,58.9,65.4,70.8,59.4,62.2,47.4,61.6,61.0,63.2,62.5,51.6,60.1,59.2,59.7,71.7,61.7,67.6
 Employment rate - Females 15 years and over in private households with children,52.4,55.0,63.1,59.4,51.2,57.9,56.9,55.3,59.0,66.2,53.8,55.5,43.7,56.9,58.5,62.2,61.0,43.8,54.2,54.4,53.2,68.9,56.8,63.0
 Unemployment rate - Females 15 years and over in private households with children,3.2,8.8,3.5,8.6,12.9,7.9,9.5,5.8,9.8,6.5,9.4,10.8,7.9,7.6,4.1,2.2,3.2,15.2,9.9,8.3,10.8,3.6,8.0,6.8
Total - Females 15 years and over in private households with children under 6 years only,250,555,485,795,990,955,"1,595",210,665,"1,045",525,915,205,"1,375",760,95,170,140,"1,190",610,685,305,"14,495","57,995"
 In the labour force - Females 15 years and over in private households with children under 6 years only,190,370,315,550,590,710,"1,100",125,475,750,300,575,120,960,500,75,135,55,775,390,450,230,"9,745","39,565"
  Employed - Females 15 years and over in private households with children under 6 years only,190,340,290,485,485,655,"1,030",125,435,675,250,480,110,850,480,80,120,50,705,350,400,230,"8,780","35,990"
  Unemployed - Females 15 years and over in private households with children under 6 years only,10,35,25,65,105,60,70,10,45,80,50,85,10,110,20,0,15,10,75,45,55,0,960,"3,575"
 Not in the labour force - Females 15 years and over in private households with children under 6 years only,55,180,175,240,405,250,495,85,190,295,220,340,80,415,260,15,35,80,415,220,230,75,"4,750","18,420"
 Participation rate - Females 15 years and over in private households with children under 6 years only,76.0,66.7,64.9,69.2,59.6,74.3,69.0,59.5,71.4,71.8,57.1,62.8,58.5,69.8,65.8,78.9,79.4,39.3,65.1,63.9,65.7,75.4,67.2,68.2
 Employment rate - Females 15 years and over in private households with children under 6 years only,76.0,61.3,59.8,61.0,49.0,68.6,64.6,59.5,65.4,64.6,47.6,52.5,53.7,61.8,63.2,84.2,70.6,35.7,59.2,57.4,58.4,75.4,60.6,62.1
 Unemployment rate - Females 15 years and over in private households with children under 6 years only,5.3,9.5,7.9,11.8,17.8,8.5,6.4,8.0,9.5,10.7,16.7,14.8,8.3,11.5,4.0,0.0,11.1,18.2,9.7,11.5,12.2,0.0,9.9,9.0
Total - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,170,105,375,105,535,705,895,195,470,260,285,295,135,855,325,125,110,190,785,490,135,180,"7,685","38,095"
 In the labour force - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,95,90,250,80,320,475,505,105,305,160,190,185,65,520,195,95,75,105,490,310,65,125,"4,815","25,350"
  Employed - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,90,75,245,70,285,445,455,85,255,145,160,180,65,455,175,95,75,95,425,290,60,125,"4,350","23,330"
  Unemployed - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,10,15,10,10,40,30,50,15,45,20,30,10,0,65,15,0,0,10,65,25,0,0,460,"2,025"
 Not in the labour force - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,75,10,125,20,210,230,390,85,165,100,100,115,65,335,130,30,35,90,290,175,70,50,"2,875","12,745"
 Participation rate - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,55.9,85.7,66.7,76.2,59.8,67.4,56.4,53.8,64.9,61.5,66.7,62.7,48.1,60.8,60.0,76.0,68.2,55.3,62.4,63.3,48.1,69.4,62.7,66.5
 Employment rate - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,52.9,71.4,65.3,66.7,53.3,63.1,50.8,43.6,54.3,55.8,56.1,61.0,48.1,53.2,53.8,76.0,68.2,50.0,54.1,59.2,44.4,69.4,56.6,61.2
 Unemployment rate - Females 15 years and over in private households with children under 6 years as well as children 6 years and over,10.5,16.7,4.0,12.5,12.5,6.3,9.9,14.3,14.8,12.5,15.8,5.4,0.0,12.5,7.7,0.0,0.0,9.5,13.3,8.1,0.0,0.0,9.6,8.0
Total - Females 15 years and over in private households with children 6 years and over only,"1,915","1,230","3,050","1,430","2,340","4,255","5,495","1,915","3,870","2,495","2,860","1,695","1,795","6,225","2,710","1,215",715,760,"4,225","4,105","1,280","1,455","56,830","234,585"
 In the labour force - Females 15 years and over in private households with children 6 years and over only,970,675,"1,995",885,"1,365","2,545","3,410","1,135","2,495","1,775","1,690","1,055",825,"3,730","1,620",735,415,400,"2,455","2,375",735,"1,035","34,235","158,690"
  Employed - Females 15 years and over in private households with children 6 years and over only,940,620,"1,940",830,"1,215","2,335","3,060","1,075","2,270","1,695","1,570",950,755,"3,510","1,565",715,410,335,"2,225","2,195",655,985,"31,770","149,065"
  Unemployed - Females 15 years and over in private households with children 6 years and over only,30,55,60,55,150,205,355,60,230,80,120,100,70,220,60,20,10,70,235,180,80,50,"2,465","9,625"
 Not in the labour force - Females 15 years and over in private households with children 6 years and over only,945,560,"1,055",545,975,"1,710","2,085",780,"1,370",720,"1,170",645,970,"2,500","1,090",480,305,355,"1,765","1,725",545,420,"22,590","75,895"
 Participation rate - Females 15 years and over in private households with children 6 years and over only,50.7,54.9,65.4,61.9,58.3,59.8,62.1,59.3,64.5,71.1,59.1,62.2,46.0,59.9,59.8,60.5,58.0,52.6,58.1,57.9,57.4,71.1,60.2,67.6
 Employment rate - Females 15 years and over in private households with children 6 years and over only,49.1,50.4,63.6,58.0,51.9,54.9,55.7,56.1,58.7,67.9,54.9,56.0,42.1,56.4,57.7,58.8,57.3,44.1,52.7,53.5,51.2,67.7,55.9,63.5
 Unemployment rate - Females 15 years and over in private households with children 6 years and over only,3.1,8.1,3.0,6.2,11.0,8.1,10.4,5.3,9.2,4.5,7.1,9.5,8.5,5.9,3.7,2.7,2.4,17.5,9.6,7.6,10.9,4.8,7.2,6.1
Total number of persons in private households,"14,035","27,510","21,135","27,430","28,885","32,790","44,210","13,955","25,465","39,365","21,730","24,345","11,900","44,770","21,795","8,735","6,655","10,985","33,260","26,505","41,770","12,615","538,570","1,963,640"
 Number of non-family persons,"2,880","13,985","2,805","12,085","10,720","5,360","8,150","2,535","3,440","16,485","5,010","9,950","1,875","6,905","4,630","1,250","1,705","5,590","4,355","3,495","23,850","2,720","149,650","354,230"
  Living with relatives,365,720,475,515,925,"1,250","1,775",385,830,950,625,840,335,"1,765",755,170,145,155,"1,370","1,065",760,150,"16,285","49,555"
  Living with non-relatives only,670,"2,435","1,220","2,475","3,410","1,820","3,460",595,775,"5,145","1,035","3,200",345,"2,345","1,750",485,790,715,"1,235",925,"6,275",980,"42,055","92,620"
  Living alone,"1,850","10,835","1,110","9,095","6,380","2,295","2,920","1,555","1,835","10,390","3,345","5,905","1,195","2,795","2,120",595,765,"4,715","1,750","1,505","16,815","1,595","91,300","212,060"
 Number of family persons,"11,155","13,525","18,325","15,350","18,165","27,430","36,060","11,420","22,025","22,880","16,725","14,395","10,030","37,870","17,170","7,485","4,950","5,395","28,905","23,005","17,920","9,895","388,925","1,609,405"
Total number of persons 65 years and over,"2,695","2,300","2,540","2,860","2,980","4,695","5,180","2,025","3,065","3,350","2,530","1,810","2,360","5,780","2,565","1,220",820,"2,720","4,140","3,595","4,800","1,810","65,655","227,890"
  Number of non-family persons 65 years and over,"1,185","1,330",730,"1,525","1,425","1,495","1,675",825,"1,050","1,545","1,085",930,875,"1,650",855,360,290,"1,735","1,275","1,180","3,170",770,"26,950","84,630"
    Living with relatives,80,90,230,95,220,590,795,110,335,135,260,105,165,700,315,90,65,55,600,440,70,85,"5,630","17,590"
    Living with non-relatives only,45,15,35,35,95,100,100,45,45,30,35,95,55,65,60,50,15,95,20,45,145,55,"1,295","3,940"
    Living alone,"1,055","1,220",465,"1,400","1,105",805,780,675,670,"1,380",790,730,660,890,485,220,200,"1,580",650,700,"2,945",630,"20,030","63,105"
  Number of family persons 65 years and over,"1,510",965,"1,810","1,335","1,560","3,195","3,510","1,205","2,010","1,805","1,440",875,"1,480","4,130","1,710",865,535,985,"2,865","2,410","1,630","1,045","38,705","143,260"
Total number of children at home,"4,380","2,825","7,530","3,250","6,445","11,355","15,080","4,465","9,155","5,795","6,170","4,745","4,025","15,590","6,710","3,055","1,850","2,105","12,505","9,895","2,845","3,640","142,980","620,760"
  Under 6 years of age,530,790,"1,210","1,045","1,900","2,240","3,285",535,"1,515","1,550",950,"1,510",440,"2,910","1,415",330,375,390,"2,760","1,320",920,625,"28,485","127,880"
  6 - 14 years,"1,340",635,"2,435",800,"2,045","3,430","4,580","1,455","2,835","1,795","1,900","1,550","1,020","4,790","1,865",920,530,695,"3,780","2,985",635,"1,190","43,080","215,355"
  15 - 17 years,630,275,"1,045",390,545,"1,100","1,390",675,"1,060",620,840,385,590,"1,430",640,500,165,230,"1,145","1,170",215,510,"15,485","74,795"
  18 - 24 years,"1,250",640,"1,860",535,860,"2,255","2,825","1,205","2,195","1,100","1,645",740,"1,195","3,330","1,485",935,470,380,"2,530","2,410",550,850,"31,165","130,390"
  25 years and more,625,480,980,480,"1,100","2,320","2,995",595,"1,555",730,835,560,775,"3,140","1,305",365,320,410,"2,285","2,010",525,465,"24,770","72,340"
 Average number of children at home per census family ,1.2,0.5,1.3,0.5,1,1.3,1.3,1.2,1.3,0.6,1.1,0.9,1.3,1.3,1.2,1.3,1.1,1.1,1.4,1.4,0.4,1.1,1.1,1.2
Total number of census families in private households by family size,"3,640","5,680","5,755","6,505","6,755","8,890","11,640","3,720","7,075","9,225","5,705","5,500","3,170","12,285","5,805","2,315","1,685","1,870","9,015","7,195","8,010","3,350","134,385","535,255"
"  Size of census family, 2 persons","1,530","4,165","2,155","4,855","3,905","3,645","4,605","1,595","2,700","6,275","2,580","3,335","1,210","4,875","2,590",970,800,970,"3,370","2,560","6,550","1,620","66,685","240,240"
"  Size of census family, 3 persons",820,955,"1,275","1,060","1,485","2,245","3,020",785,"1,810","1,795","1,475","1,225",755,"3,200","1,470",365,340,405,"2,105","1,805","1,075",655,"30,015","118,840"
"  Size of census family, 4 persons",905,455,"1,620",515,995,"1,995","2,715",900,"1,820",900,"1,210",695,755,"2,955","1,265",540,385,295,"2,225","1,945",325,765,"26,110","123,200"
"  Size of census family, 5 or more persons",390,100,705,80,365,"1,005","1,305",435,745,250,435,240,445,"1,255",475,435,150,195,"1,320",885,60,310,"11,575","52,970"
  Average number of persons per census family,3.1,2.4,3.2,2.4,2.7,3.1,3.1,3.1,3.1,2.5,2.9,2.6,3.2,3.1,3,3.2,2.9,2.9,3.2,3.2,2.2,2.9,2.9,3
Total couple families by family structure,"3,130","5,025","5,040","5,590","4,970","7,180","9,340","3,235","5,795","7,860","4,840","4,150","2,840","9,990","4,655","2,120","1,415","1,420","7,385","5,920","7,065","2,900","111,560","453,395"
  Married couples,"2,920","3,500","4,665","3,945","3,445","6,460","8,435","2,975","5,335","5,465","4,220","2,995","2,745","9,260","3,990","1,960","1,185","1,230","6,955","5,640","4,240","2,540","93,835","401,385"
    Without children at home,"1,045","2,240","1,465","2,515","1,455","2,115","2,645","1,135","1,595","3,140","1,400","1,345",920,"2,980","1,350",690,435,555,"2,265","1,620","3,110","1,040","36,970","152,545"
    With children at home,"1,870","1,260","3,200","1,425","1,990","4,340","5,785","1,840","3,735","2,325","2,820","1,650","1,825","6,280","2,635","1,270",750,675,"4,695","4,020","1,130","1,495","56,865","248,845"
      1 child,655,775,"1,030",865,905,"1,665","2,140",585,"1,375","1,285","1,245",860,650,"2,410","1,070",310,255,280,"1,515","1,465",775,510,"22,555","87,825"
      2 children,825,380,"1,485",495,800,"1,755","2,425",845,"1,685",815,"1,145",590,735,"2,700","1,130",525,350,230,"1,975","1,770",305,705,"23,605","111,795"
      3 or more children,390,100,685,70,285,920,"1,225",405,675,220,430,195,435,"1,165",445,430,140,165,"1,210",790,50,285,"10,705","49,220"
  Common-law couples,215,"1,525",375,"1,650","1,520",720,905,265,465,"2,395",625,"1,160",100,730,665,155,230,185,425,280,"2,825",360,"17,725","52,010"
    Without children at home,170,"1,455",280,"1,575","1,185",495,645,175,270,"2,065",525,"1,050",75,480,490,135,180,145,285,175,"2,685",265,"14,770","37,370"
    With children at home,45,75,95,75,335,225,265,90,195,330,100,115,20,255,175,20,55,40,140,105,140,95,"2,955","14,635"
      1 child,20,55,45,60,225,120,140,45,95,240,70,55,15,120,110,15,20,25,65,35,125,50,"1,750","7,945"
      2 children,25,25,35,10,85,90,100,15,65,70,25,40,0,75,55,0,20,10,55,35,0,40,865,"4,755"
      3 or more children,0,0,15,10,25,10,25,30,35,20,0,15,0,60,15,0,10,10,20,25,10,10,335,"1,935"
Total lone-parent families by sex of parent,510,655,715,915,"1,785","1,710","2,300",480,"1,280","1,360",865,"1,345",330,"2,295","1,145",195,265,450,"1,635","1,270",945,455,"22,825","81,865"
  Female parent,420,555,620,820,"1,515","1,340","1,935",370,"1,070","1,130",755,"1,150",280,"1,925",975,145,195,370,"1,360","1,080",835,345,"19,120","67,055"
    1 child,260,405,355,695,"1,095",790,"1,120",230,685,885,550,775,180,"1,185",605,95,140,200,690,625,670,235,"12,435","40,440"
